"","","","","Area -  “000” Hectares"
"","","","","Production - “000” Tonnes"
"","","","","Yield - Kg/Hectare"
"Country","Area","Production","Yield","Production (%)"
"(1)","(2)","(3)","(4)","(5)"
"1. Paddy","","","",""
"World","165163","740903","4486","100.00"
"China","30582","205207","6710","27.70"
"India","43940","159200","3623","21.49"
"Indonesia","13835","71280","5152","9.62"
"Bangladesh","11770","51500","4376","6.95"
"Viet Nam","7903","44039","5573","5.94"
"Thailand","12373","36063","2915","4.87"
"Myanmar","7500","28767","3836","3.88"
"Philippines","4746","18439","3885","2.49"
"Brazil","2353","11783","5007","1.59"
"Japan","1599","10758","6728","1.45"
"2. Wheat","","","",""
"World","219047","715909","3268","100.00"
"China","24119","121931","5055","17.03"
"India","29650","93510","3154","13.06"
"USA","18274","57967","3172","8.10"
"France","5323","38614","7254","5.39"
"Canada","10442","37530","3594","5.24"
"Germany","3128","25019","7998","3.49"
"Pakistan","8687","24211","2787","3.38"
"Oceania","13029","23303","1789","3.26"
"Australia","12979","22856","1761","3.19"
"Ukraine","6566","22793","3471","3.18"
"3. Maize","","","",""
"World","185121","1018112","5500","100.00"
"USA","35478","353699","9970","34.74"
"China","36339","218624","6016","21.47"
"Brazil","15280","80273","5254","7.88"
"Argentina","4864","32119","6604","3.15"
"Ukraine","4827","30950","6412","3.04"
"India","9500","23290","2452","2.29"
"Mexico","7096","22664","3194","2.23"
"Indonesia","3822","18512","4844","1.82"
"France","1850","15053","8137","1.48"
"Canada","1480","14194","9591","1.39"
"","","","","Contd…"
